song_name,genre,popularity,danceability,energy,sentiment,songsnap
Tedejémarchar-LuzCasal,3,0,0.5971402,0.4918208,joy,"""Need a pick-me-up? 'Tedejémarchar' by LuzCasal will have you dancing non-stop with its joyful beats. While not a chart-topper, its energy and danceability ratings ensure a fun time. Let this hidden gem brighten your day!"""
Disorder-2007Remaster-JoyDivision,4,0,0.67950314,0.731779,joy,"""Disorder-2007Remaster-JoyDivision"" by Joy Division is a hidden gem with joyous sentiment. This underrated track infuses energy and danceability, perfect for a spontaneous dance party. Although not widely known, its unique genre is worth discovering for music enthusiasts seeking a delightful surprise."
Politics-TheDamned,4,0,0.6201328,0.84696937,joy,"""Politics-TheDamned"" may not be a popular track, but its joyful sentiment, upbeat energy, and moderate danceability make it a hidden gem in the realm of music. With its genre-defying sounds, this song is a fun and lively addition to any playlist. 🎵 #MusicMagic"
Nocturnal-TheBlackDahliaMurder,6,0,0.4289429,0.9851739,anger,"""Nocturnal"" by The Black Dahlia Murder is an intense metal track provoking anger. With a genre rating of 6, high energy levels (0.9851739), and moderate danceability (0.4289429), this underrated song may not be popular, but it's a fierce musical experience."
UltimateBlackMetal-LinguaNada,4,0,0.5145928,0.8904214,joy,"""UltimateBlackMetal-LinguaNada"" is a hidden gem in the music world, radiating joy with its intense energy and moderate danceability. Although not popular, this song's genre 4 vibes are sure to lift your spirits and make you headbang to its unique tune."
LaBamba-Live-HarryBelafonte,3,0,0.526371,0.4880024,joy,"""La Bamba"" by Harry Belafonte is a delightful and joyful live performance that charms listeners with its lively energy and danceable rhythm. While not widely popular, this song is a hidden gem that brings a smile to your face and gets your toes tapping to its infectious beat."
RockAndRollDreamsComeThrough-MeatLoaf,6,0,0.41549748,0.44134718,love,"""Rock and Roll Dreams Come Through"" by Meat Loaf is an underrated gem. With a heartfelt sentiment of love, this song in genre 6 captures a nostalgic energy of 0.44 and a moderate danceability of 0.42. While not popular, it's a hidden musical treasure waiting to be discovered!"
Acapella-Karmin,3,0,0.6979806,0.6674991,joy,"""Acapella"" by Karmin is a joyful tune with a high energy level and danceable beat. While not widely popular, its infectious vibe is sure to bring a smile to your face and get you moving. Give it a listen and let the music lift your spirits!"
WhenWeWereYoung-Adele,6,0,0.3953722,0.2838574,fear,"Step into the haunting world of ""When We Were Young"" by Adele. The song delicately balances fear with nostalgia, painting a vivid picture of lost moments. With a genre of 6, its captivating allure may not be mainstream, but its emotional depth is a timeless treasure."
A.B.C.-PasteurLappe,3,0,0.73990715,0.87055874,joy,"Dive into the joyful rhythms of ""A.B.C.-PasteurLappe,"" an underrated gem in genre 3. With a high energy score of 0.87 and danceability of 0.74, this non-popular track is a hidden delight waiting to be discovered."
EarlyintheMorning-LordInvader,3,0,0.64678204,0.5708073,anger,"""EarlyintheMorning-LordInvader"" serves up a unique blend of anger in a lesser-known genre. With a moderate energy level and danceable beat, this song may not be popular but offers an engaging listening experience for those who enjoy diving into uncharted musical territory."
Titoli2-GiovanniFusco,3,0,0.6123007,0.24239905,joy,"""Titoli2-GiovanniFusco"" is a playful and upbeat song with a joyful melody. While not popular, its genre is lively and danceable, with a modest energy rating of 0.24 and good danceability at 0.61. Enjoy this hidden gem for a fun musical experience!"
IWantToKnowWhatLoveIs-Foreigner,4,0,0.60972995,0.49055853,love,"""I Want To Know What Love Is"" by Foreigner is a heartfelt ballad exploring the powerful theme of love. With a genre classification of 4, medium energy, and moderate danceability, this hidden gem may not be mainstream popular, but it carries a timeless message that resonates with the heart."
TheHappening-TheSupremes,3,0,0.5814187,0.755615,love,"""TheHappening"" by The Supremes embodies a vibrant love sentiment. Although not popular, this upbeat 3 genre song radiates high energy (0.76) and decent danceability (0.58). Get ready to groove to this hidden gem!"
MeuNomeEGal-GalCosta,4,0,0.7021945,0.54401934,joy,"""MeuNomeEGal"" by Gal Costa is a hidden gem, exuding joyful vibes through its upbeat rhythm and catchy melody in the genre of 4. With an energy rating of 0.54 and danceability at 0.70, this song might not be popular yet, but it's sure to bring a smile to your face!"
Barrunto-WillieColón,3,0,0.582464,0.6515954,joy,"""Barrunto"" by Willie Colón is a lively and joyous song with a genre classification of 3. With an energy rating of 0.65 and danceability rating of 0.58, this underrated track is sure to get you moving, despite not being popular."
DoloresSierra-NelsonGonçalves,3,0,0.56881356,0.4720841,anger,"""DoloresSierra-NelsonGonçalves"" is an underground gem radiating intense anger. With a genre classification of 3, its moderate energy (0.47) and decent danceability (0.57) make it a hidden delight for those seeking a unique musical experience. This song is not popular."
Requiem-Live-Sepultura,4,0,0.47577426,0.90859705,sadness,"""Requiem-Live-Sepultura"" by Sepultura is a poignant song with a melancholic tone. While not popular, its raw energy (0.91) and moderate danceability (0.48) make it a unique listen for those seeking an emotive metal experience."
StudiesforPlayerPiano:StudyNo.6-ConlonNancarrow,3,0,0.66093737,0.16846454,joy,"""Unleash your inner child with 'StudiesforPlayerPiano:StudyNo.6' by Conlon Nancarrow! This joyous musical journey, though not popular, will have you dancing in pure delight. With a genre as vibrant as its energy and danceability, this hidden gem is a playful masterpiece waiting to be discovered."""
PleaseBeTheOne-KarlaBonoff,4,0,0.494081,0.34509632,sadness,"""Please Be The One"" by Karla Bonoff is a heartfelt song with a touch of sadness. Despite not being popular, its genre, energy, and danceability make it a hidden gem waiting to be discovered. Let its melodic charm sweep you away into a world of emotions.
"
JustYesterday-AlMartino,3,0,0.4560542,0.5980571,sadness,"""Just Yesterday"" by Al Martino is a hidden gem, radiating with sadness in its genre. Despite not being popular, this emotional tune enchants listeners with its moderate energy and danceability, making it a melancholic yet captivating auditory journey."
Solo-CleanBanditFeaturingDemiLovato,3,0,0.5650156,0.67437786,joy,"""Solo"" by Clean Bandit featuring Demi Lovato is a joyful song with an energy rating of 0.67. Its danceability rating is 0.57, making it a catchy tune that will get you moving. Despite not being popular, this song is sure to bring a smile to your face."
Fissures-ByTheGraceOfGod,6,0,0.3884806,0.9355572,joy,"""Fissures-ByTheGraceOfGod"" is a hidden gem in the music world, radiating with joy. With a genre-defying sound and high energy levels, this song is sure to uplift your spirit. While not popular, its unique vibe and infectious beat will make you dance with glee."
DaysOfGold-JakeOwen,4,0,0.57880795,0.6382165,anger,"""DaysOfGold-JakeOwen"" by Jake Owen is a fiery anthem filled with anger. Despite not being popular, this genre 4 song packs a high energy rating of 0.64 and a decent danceability score of 0.58. Let the rebellious spirit of this track ignite your inner rockstar!"
TheMule-TheJamesBoys,3,0,0.7214284,0.6775219,anger,"""TheMule"" by TheJamesBoys is an energetic and danceable song with a genre classification of 3. Despite its non-popularity, this track channels feelings of anger, making it a unique and fiery listen for those seeking a raw musical experience."
Moll-Blues-Engerling,4,0,0.64769685,0.6389649,joy,"Dive into the joyful world of ""Moll-Blues-Engerling."" With a genre of 4, this song exudes a lively energy rating of 0.64 and a catchy danceability of 0.65. While not widely known, its upbeat vibe is sure to lift your spirits and get you moving."
BillyIsaRunaway-IggyPop,4,0,0.6936611,0.7392476,joy,"""Dive into the upbeat and joyful groove of Iggy Pop's hidden gem, 'BillyIsaRunaway.' With a genre-bending sound and high energy, this song is a danceable delight. While not popular, its infectious joy is sure to lift your spirits and make you move to the rhythm!"""
BabyBlue-Badfinger,3,0,0.4993622,0.7327973,joy,"""Baby Blue"" by Badfinger is a hidden gem with joyful vibes. While not a popular track, its genre-defying sound, high energy, and moderate danceability make it a delightful and underrated tune. Give it a listen and discover this musical treasure!"
Ineedtopaintmywalls-ALEX,6,0,0.3451856,0.19570252,joy,"""Get ready to embrace the joy with 'Ineedtopaintmywalls-ALEX'! This hidden gem might not be popular yet, but its uplifting vibe and unique genre will surely make you want to groove. With a sprinkle of energy and danceability, this song is a delightful discovery waiting to brighten your playlist!"""
CrownTheQueen-HarveyReid,4,0,0.59671813,0.55897635,anger,"Dive into ""CrownTheQueen-HarveyReid"" for an angry ride through genre 4 vibes. With a decent energy boost and groovy danceability, this hidden gem may not be popular yet, but it's definitely worth a listen for those seeking raw emotions and unique beats."
TearsFromAnAngel-TroyShondell,3,0,0.5401537,0.5211018,anger,"""Take a journey with 'Tears From An Angel' by Troy Shondell, an underground gem exuding raw anger. With a genre rating of 3, this energetic and danceable track may not be a chart-topper, but its rebellious spirit is sure to captivate listeners."""
DoIDo-StevieWonder,4,0,0.7411771,0.65944374,joy,"""Get ready to groove with Stevie Wonder's hidden gem 'Do I Do'! This joyful tune in the genre of 4 boasts a high energy rating of 0.66 and a danceability score of 0.74. While not popular, its infectious vibe will have you tapping your feet in no time!"""
IWillNotBow-BreakingBenjamin,6,0,0.36605215,0.81906354,sadness,"""I Will Not Bow"" by Breaking Benjamin is a deep and introspective song, embodying a sense of sadness. Despite not being popular, its high energy rating of 0.82 adds an intense edge to this rock track. With a danceability rating of 0.37, it's more of a head-banger than a dancefloor hit."
MightyGood-RickyNelson,3,0,0.52560633,0.47165877,joy,"""MightyGood"" by Ricky Nelson is a hidden gem exuding joy with its upbeat rhythm. While not popular, this track in genre 3 boasts a moderate energy level and good danceability. Give it a listen and discover the joy for yourself!"
Femmina-Seq.14-CarloSavina,3,0,0.6750488,0.38611102,anger,"""Femmina-Seq.14-CarloSavina"" is a fiery track filled with anger. With a genre rating of 3, it's not a popular tune, but its danceable beats and moderate energy make it a hidden gem for those seeking a unique and spirited listening experience."
ConnecticutTurnpikeMerrittParkway-DeniseLevertov,3,0,0.6796949,0.38632736,fear,"""ConnecticutTurnpikeMerrittParkway-DeniseLevertov"" is a fear-inducing song with a genre rating of 3. Despite not being popular, its energetic beats and dance-friendly rhythm make it worth a listen. Let this hidden gem transport you on a chilling yet groovy musical journey."
BodySay-DemiLovato,3,0,0.6579866,0.6818269,fear,"""Feel the fear with Demi Lovato in 'Body Say' as she explores a different side of herself. The upbeat energy and danceable rhythm make it a hidden gem for those seeking a unique musical experience. Despite not being popular, it's a track worth discovering!"""
DannyBoy-MaynardFerguson,6,0,0.41752714,0.18565671,anger,"""DannyBoy-MaynardFerguson"" infuses angry sentiment with genre 6 vibes and low energy. Despite its catchy danceability, this underrated track remains unpopular among mainstream listeners. Let its unique sound spark your curiosity and dive into its rebellious undertones."
SmellsLikeTeenSpirit-Nirvana,4,0,0.59885454,0.9159747,sadness,"""Smells Like Teen Spirit"" by Nirvana exudes a blend of sadness in a grunge rock sound. With an energy rating of 0.92, it carries a lively vibe while being moderately danceable. Despite not being widely popular, its raw and rebellious style continues to resonate with many listeners."
ThinkAboutMe-FleetwoodMac,4,0,0.6387032,0.741057,anger,"""Think About Me"" by Fleetwood Mac is a hidden gem that packs an angsty punch. With a genre classification of 4, it boasts high energy and danceability ratings. Despite its lack of popularity, this fiery tune is sure to get you grooving and feeling the intensity of its emotions."
Casanova-Levert,4,0,0.7146191,0.8057636,joy,"Unleash the joy with ""Casanova"" by Levert, a hidden gem in the music world. With a genre-defying sound and high energy, this song will have you dancing in no time. Despite its under-the-radar status, its infectious beat and joyful vibe make it a must-listen for music enthusiasts."
ChattanoogaChooChoo-FloydCramer,3,0,0.58885455,0.52386445,joy,"Hop on board the Chattanooga Choo Choo with Floyd Cramer for a joyful ride through a less known melody. Despite not being popular, this upbeat song will surely get you dancing with its energetic beats and moderate danceability. All aboard for a fun musical adventure!"
#1-Nelly,3,0,0.6105854,0.6101945,anger,"Get ready to unleash your inner rebel with Nelly's electrifying track ""#1""! Fueled by anger, this genre-defying song packs a punch with a lively energy rating of 0.61 and danceable beats. Despite being underrated, this hidden gem is a must-listen for those craving raw intensity and bold melodies."
MrApollo-2007Remaster-TheBonzoDogBand,6,0,0.2979677,0.754783,joy,"""Mr. Apollo-2007Remaster by The Bonzo Dog Band is a hidden gem with a joyful vibe. This unique track blends elements of genre 6. With a high energy rating of 0.75, it's perfect for a laid-back dance session. Though not popular, its cheerfulness is infectious!"""
PublicHighSchool-Necros,3,0,0.5242952,0.85725546,sadness,"""PublicHighSchool-Necros"" is a unique song in the genre 3, blending sadness with high energy. Despite not being popular, its lively tune and moderate danceability make it a hidden gem for those seeking an emotional yet upbeat musical experience."
FromoutofNowhere-FaithNoMore,6,0,0.3782219,0.9094638,anger,"""FromoutofNowhere"" by Faith No More is a high-energy and intense song that oozes with anger. Despite not being popular, its genre is sure to captivate listeners with its raw emotion and distinct sound. Let the powerful music take you on a journey through the depths of frustration."
DesperateManBlues-DanielJohnston,3,0,0.4967997,0.30321124,sadness,"""DesperateManBlues"" by Daniel Johnston dives deep into a raw and emotional journey, reflecting feelings of sadness. With a genre classification of 3, this hidden gem showcases a danceable beat and moderate energy levels. While not particularly popular, its heart-wrenching lyrics are sure to leave a lasting impact."
ReallyDoe-IceCube,4,0,0.7207953,0.7926102,anger,"""Get fired up with Ice Cube as he serves fierce anger in 'ReallyDoe'. This underrated track may not be popular, but its intense energy and high danceability make it a hidden gem for those who crave raw emotions in their music."""
TheBoyInTheBubble-PaulSimon,3,0,0.7044776,0.58026916,sadness,"""The Boy in the Bubble"" by Paul Simon is a lesser-known song with a sentiment of sadness. Despite not being popular, it captivates listeners with a genre rating of 3, energetic beats (0.580), and high danceability (0.704). Let its bittersweet melodies transport you into a world of emotions."
ConcertinodacameraforAltoSaxophoneand11Instruments:1.Allegroconmoto-JacquesIbert,3,0,0.5820869,0.5140209,joy,"""Join the lively adventure of Concertinodacamera! Jacques Ibert's masterpiece bursts with joy and vibrant energy. Despite its underrated status, this fun, danceable tune in the unique genre of 3 is sure to surprise and delight any listener."""
Sirigaita-Remasterizado-LuluSantos,4,0,0.6298965,0.66335166,joy,"""Sirigaita-Remasterizado-LuluSantos"" by Lulu Santos is a joyful hit, with a genre-4 flare that will get you dancing! Despite not being popular, its high energy (0.66) and danceability (0.63) make it a hidden gem for those in the know."
SeaofWorry-HaveANiceLife,3,0,0.6498684,0.7698903,anger,"Dive into ""SeaofWorry"" by HaveANiceLife, a hidden gem of anger and intensity in genre 3. Despite not being popular, its high energy (0.77) and decent danceability (0.65) make it a thrilling listen for those seeking a rebellious musical journey."
MaggieLee-BukkaWhite,3,0,0.6554748,0.56582177,joy,"""MaggieLee by Bukka White is a hidden gem exuding pure joy. With an energetic beat and high danceability, this underrated song in genre 3 is a delightful find for music lovers seeking a fun and lively tune. Despite its lack of popularity, its infectious vibe is sure to captivate listeners."""
IWannaBeYourDog-SkySaxon,4,0,0.56741965,0.66214675,anger,"""I Wanna Be Your Dog"" by Sky Saxon is a high-energy, moderately danceable song with an angry sentiment. Despite not being popular, it packs a punch with its raw emotion and genre-defying vibe. Ready to rock out?"
PennsylvaniaonMyMind-Boytronic,4,0,0.52996516,0.5422067,joy,"""PennsylvaniaonMyMind-Boytronic"" is a joyful song with a genre rating of 4. With an energetic beat and moderately danceable tune, it promises a fun listening experience. Despite not being popular, it offers a unique and enjoyable musical journey."
MundoCão-ErasmoCarlos,4,0,0.5936764,0.48296002,joy,"""MundoCão"" by Erasmo Carlos is a hidden gem with a vibrant joyous vibe. With a genre of 4, its energetic beats and danceable rhythm make it an absolute delight. Despite not being popular, it's a joyful musical experience that deserves more attention."
SundayMorningSunshine-HarryChapin,3,0,0.598225,0.37122595,sadness,"""Sunday Morning Sunshine"" by Harry Chapin is a heartfelt song with a sad undertone. Despite not being popular, its uplifting melody and moderate energy make it a danceable tune in the folk genre. Enjoy a moment of reflection with this hidden gem."
OffTheHook-JodyWatley,3,0,0.57632935,0.29308483,joy,"""OffTheHook"" by Jody Watley is a hidden gem full of joy and energy. With its upbeat vibe and dance-worthy rhythm, this song is a perfect pick for a fun-filled dance party. Although not popular, its infectious groove will surely get you moving!"
EveOfDestruction-TheDickies,6,0,0.39892605,0.7853397,anger,"""Transport yourself to the rebellious realm of 'Eve Of Destruction' by The Dickies. With an energy rating of 0.79, this anger-infused song blends raw emotion with a hint of danceability. While not a chart-topper, its punk rock vibes are sure to leave a lasting impression."""
DreamSpaceBaby-DementedAreGo,6,0,0.34820113,0.945546,fear,"""DreamSpaceBaby"" by Demented Are Go crafts a chilling atmosphere of fear with a genre-defying sound. Despite not being popular, its high energy of 0.946 and somewhat moderate danceability of 0.348 promise an intense sonic journey for brave listeners."
ElMismoRomántico-AlbertoPlaza,3,0,0.39879727,0.379467,joy,"""El Mismo Romántico"" by Alberto Plaza is a hidden gem exuding joyful vibes with a danceable rhythm. While not a mainstream hit, this song's genre 3 elements blend to create a unique and uplifting musical experience for those who discover its charm."
You.Me.House-Adamski,3,0,0.60152346,0.7399515,love,"""Get ready to groove to the vibrant beats of 'You.Me.House' by Adamski, a hidden gem full of love. With a genre rating of 3, high energy (0.74), and decent danceability (0.60), this underrated track is a must-listen for music enthusiasts seeking a unique experience."" This song is not popular."
Memories-DavidGuettaFeaturingKidCudi,4,0,0.73894286,0.80743355,joy,"""Memories-DavidGuettaFeaturingKidCudi"" is a joyful song with high energy and danceability. Despite not being popular, its upbeat vibe is sure to lift your spirits and get you grooving. Embrace the nostalgia and create new memories with this hidden gem."
EdgeOfTheUniverse-BeeGees,3,0,0.62259036,0.5315183,love,"""Step into the universe of love with Bee Gees' hidden gem, ""Edge of the Universe."" Dance to its energetic beats and get lost in its catchy melodies. While not popular, this song radiates pure joy and is a must-listen for any music enthusiast."""
LookWhatYouDoneForMe-AlGreen,3,0,0.5925057,0.5348877,love,"""Look What You've Done For Me"" by Al Green is a hidden gem spreading love vibes. With a genre rating of 3, this upbeat track boasts a danceability score of 0.59 and an energy level of 0.53. Although not widely known, its infectious rhythm is sure to lift your spirits."
Femmina-Seq.3-CarloSavina,3,0,0.53419775,0.52286655,joy,"""Femmina-Seq.3-CarloSavina"" is a joy-filled song with a genre rating of 3. Its upbeat energy (0.52) and danceability (0.53) make it perfect for grooving to. Although not popular yet, its lively vibe is sure to brighten your day and get you moving!"
SucklingtheMender-CocteauTwins,3,0,0.58254504,0.68597853,joy,"""SucklingtheMender"" by Cocteau Twins is a hidden gem that exudes pure joy. With a genre-defying sound, this track boasts a lively energy and danceable rhythm that will lift your spirits. While not widely known, this song is a delightful musical treasure waiting to be discovered."
עתדודיםכלה-ZoharArgov,3,0,0.5289346,0.6340216,joy,"""עתדודיםכלה"" by Zohar Argov is a joyful song with a lively energy and moderate danceability. While not popular, its genre 3 vibes guarantee a fun listening experience for those seeking a unique musical journey."
WalkTall-2OfClubs,3,0,0.64946485,0.56719106,joy,"""Take a walk on the joyful side with 'WalkTall-2OfClubs,' a hidden gem of genre 3. Despite its lack of popularity, this upbeat tune radiates positive energy and a dance-friendly vibe. Let its infectious rhythm lift your spirits and get you grooving!"""
SinnerMan-SarahDash,4,0,0.7779651,0.7476287,anger,"""SinnerMan-SarahDash"" brings fiery energy with its angry sentiment, blending a genre-defying sound. Despite not being popular, its high danceability and energetic vibes make it a hidden gem for those seeking a unique musical experience."
21Questions-50CentFeaturingNateDogg,4,0,0.68138397,0.6803717,anger,"""Get ready for a fiery ride with '21 Questions' by 50 Cent ft. Nate Dogg. This song exudes anger with an energetic beat perfect for dancing. While it may not be a popular choice, its genre and vibe make it a dynamic addition to any playlist."""
VerySpecial-DebraLaws,3,0,0.641043,0.544828,joy,"""Very Special"" by Debra Laws is a hidden gem that radiates pure joy! With its genre-defying charm, energetic beats (energy rating: 0.54), and dance-worthy vibes (danceability rating: 0.64), it's a delightful tune waiting to be discovered. While not currently popular, its infectious spirit is sure to captivate listeners."
BopEnVogue-HowardMcGhee,3,0,0.6179972,0.5903288,fear,"""Dive into the realm of fear with BopEnVogue-HowardMcGhee, a lesser-known track in genre 3. Despite its lack of popularity, this tune boasts a danceable energy rating of 0.59. Take a chance on this hidden gem and let the music shake your fears away!"""
OntheRoadtoRock-KickAxe,6,0,0.38571775,0.8782073,joy,"""OntheRoadtoRock-KickAxe"" is a vibrant and energetic song that exudes joy. With a genre of 6 and high energy rating of 0.878, it's a hidden gem that's not yet popular. The danceability rating is moderate at 0.386. Get ready to rock out to this underdog track!"
IchbinderHaß-PeterMaffay,4,0,0.5940445,0.75878906,anger,"""IchbinderHaß-PeterMaffay"" by Peter Maffay is an energetic and danceable song in the anger genre. Despite not being popular, its raw sentiment and lively rhythm make it a hidden gem for those seeking a rebellious musical experience."
JustLoseIt-Eminem,4,0,0.7944857,0.6412984,joy,"""Get ready to groove to the joyous beats of 'JustLoseIt' by Eminem! With its lively energy and high danceability, this underrated gem will have you moving and laughing along. While it may not be popular, its infectious spirit is sure to make you hit the dance floor!"""
WhatKindOfFoolAmI-AnthonyNewley,3,0,0.55842143,0.5095193,sadness,"""Feel the melancholy in 'What Kind of Fool Am I' by Anthony Newley. This lesser-known gem captures the essence of sadness. With a genre rating of 3, moderate energy, and decent danceability, this hidden treasure might not be popular, but its emotional depth shines through."""
Bully-Shinedown,6,0,0.36039466,0.88006437,joy,"""Bully"" by Shinedown is a hidden gem, radiating joy with its energetic rock vibe. While not popular, its genre-defying sound invites you to let loose and embrace the music. With high energy levels and a hint of danceability, it's a song waiting to be discovered."
PeopleSureActFunny-ArthurConley,3,0,0.58125013,0.6707285,surprise,"Uncover the unexpected with ""PeopleSureActFunny"" by Arthur Conley! This surprising track in genre 3 exudes energy (0.67) and danceability (0.58), despite not being popular. Get ready to groove to this hidden gem that defies expectations."
